id,px,py,pz,length
146,36.821,15.346,-7.973,1.476
147,37.621,15.346,-8.026,1.136
148,38.421,15.346,-8.080,0.904
149,39.221,15.346,-8.101,0.856
150,40.021,15.346,-8.101,0.838
151,40.821,15.346,-8.084,0.620
152,41.621,15.346,-8.109,0.380
153,46.421,15.346,-8.227,0.300
154,47.221,15.346,-8.240,0.300
155,48.021,15.346,-8.258,0.563
156,48.821,15.346,-8.268,0.969
157,49.621,15.346,-8.256,1.255
158,50.421,15.346,-8.236,1.333
159,51.221,15.346,-8.224,1.279
160,52.021,15.346,-8.226,1.197
161,52.821,15.346,-8.237,1.101
162,53.621,15.346,-8.254,0.947
163,54.421,15.346,-8.279,0.792
164,55.221,15.346,-8.289,0.676
165,56.021,15.346,-8.269,0.606
166,56.821,15.346,-8.251,0.526
167,57.621,15.346,-8.234,0.388
168,58.421,15.346,-8.214,0.300
169,59.221,15.346,-8.199,0.337
170,60.021,15.346,-8.199,0.412
171,60.821,15.346,-8.199,0.442
172,61.621,15.346,-8.195,0.506
173,62.421,15.346,-8.199,0.599
174,63.221,15.346,-8.216,0.693
175,64.021,15.346,-8.246,0.759
176,64.821,15.346,-8.265,0.725
177,65.621,15.346,-8.257,0.519
178,4.421,16.146,-7.900,0.300
179,5.221,16.146,-7.901,0.300
180,6.021,16.146,-7.901,0.300
181,6.821,16.146,-7.897,0.300
182,7.621,16.146,-7.888,0.347
183,8.421,16.146,-7.848,0.374
184,9.221,16.146,-7.834,0.444
185,10.021,16.146,-7.869,0.631
186,10.821,16.146,-7.878,0.739
187,11.621,16.146,-7.881,0.783
188,12.421,16.146,-7.840,0.776
189,13.221,16.146,-7.802,0.743
190,14.021,16.146,-7.497,0.500
191,14.821,16.146,-7.616,0.681
192,15.621,16.146,-7.662,0.780
193,16.421,16.146,-7.578,0.765
194,17.221,16.146,-7.653,0.907
195,18.021,16.146,-7.642,0.905
196,18.821,16.146,-7.650,0.930
197,19.621,16.146,-7.603,0.874
198,20.421,16.146,-7.587,0.850
199,21.221,16.146,-7.907,1.235
200,22.021,16.146,-7.626,1.023
201,22.821,16.146,-7.656,1.117
202,23.621,16.146,-7.709,1.208
203,24.421,16.146,-7.763,1.129
204,25.221,16.146,-7.763,0.891
205,26.021,16.146,-7.781,0.876
206,26.821,16.146,-7.769,1.157
207,27.621,16.146,-7.776,1.470
208,28.421,16.146,-7.814,1.588
209,29.221,16.146,-7.856,1.564
210,30.021,16.146,-7.895,1.495
211,30.821,16.146,-7.930,1.382
212,31.621,16.146,-7.957,1.188
213,32.421,16.146,-7.978,0.956
214,33.221,16.146,-7.995,0.818
215,34.021,16.146,-7.998,0.853
216,34.821,16.146,-7.981,1.030
217,35.621,16.146,-7.958,1.346
218,36.421,16.146,-7.952,1.487
219,37.221,16.146,-7.984,1.275
220,38.021,16.146,-8.046,1.027
221,38.821,16.146,-8.102,0.899
222,39.621,16.146,-8.133,0.873
223,40.421,16.146,-8.153,0.744
224,41.221,16.146,-8.170,0.404
225,46.821,16.146,-8.237,0.300
226,47.621,16.146,-8.262,0.573
227,48.421,16.146,-8.286,1.061
228,49.221,16.146,-8.291,1.470
229,50.021,16.146,-8.278,1.589
230,50.821,16.146,-8.263,1.516
231,51.621,16.146,-8.257,1.409
232,52.421,16.146,-8.262,1.342
233,53.221,16.146,-8.275,1.226
234,54.021,16.146,-8.291,0.988
235,54.821,16.146,-8.303,0.831
236,55.621,16.146,-8.302,0.776
237,56.421,16.146,-8.288,0.717
238,57.221,16.146,-8.260,0.587
239,58.021,16.146,-8.212,0.386
240,58.821,16.146,-8.159,0.300
241,59.621,16.146,-8.167,0.413
242,60.421,16.146,-8.195,0.599
243,61.221,16.146,-8.204,0.706
244,62.021,16.146,-8.207,0.796
245,62.821,16.146,-8.212,0.906
246,63.621,16.146,-8.217,1.011
247,64.421,16.146,-8.222,0.973
248,65.221,16.146,-8.231,0.771
249,66.021,16.146,-8.235,0.553
250,69.221,16.146,-8.196,0.300
251,1.621,16.946,-7.901,0.444
252,2.421,16.946,-7.902,0.433
253,3.221,16.946,-7.894,0.408
254,4.021,16.946,-7.884,0.375
255,4.821,16.946,-7.880,0.369
256,5.621,16.946,-7.881,0.401
257,6.421,16.946,-7.883,0.426
258,7.221,16.946,-7.869,0.481
259,8.021,16.946,-7.829,0.537
260,8.821,16.946,-7.755,0.537
261,10.421,16.946,-7.749,0.766
262,11.221,16.946,-7.717,0.758
263,12.021,16.946,-7.587,0.601
264,13.621,16.946,-7.308,0.300
265,14.421,16.946,-7.608,0.678
266,15.221,16.946,-7.690,0.865
267,16.021,16.946,-7.707,0.999
268,16.821,16.946,-7.702,1.103
